load_dt,cntnt_id,invt_space_id,tdata_srv_type_id,srv_type_desc,served_content_cnt
10/14/15,548887d0b01662da5cf898ad,IS1001,3,Video (Uvrs),1
10/14/15,55ef554696c449533636de8a,IS1157,3,Video (Uvrs),1
10/14/15,5514e93798e6b8749a044d96,IS1076,3,Video (Uvrs),1
10/14/15,55dddcd596c449533636dd81,IS1269,3,Video (Uvrs),1
10/14/15,55dddcd696c449533636dd87,IS1264,3,Video (Uvrs),1
10/14/15,560c8e8796c449533636e0de,IS1058,3,Video (Uvrs),1
10/14/15,5514e93798e6b8749a044d9b,IS1070,3,Video (Uvrs),1
10/14/15,54af021cb01662da5cf89bf5,IS1095,3,Video (Uvrs),1
10/14/15,55dddcd696c449533636dd86,IS1264,3,Video (Uvrs),1
10/14/15,54af021cb01662da5cf89c06,IS1095,3,Video (Uvrs),1
10/14/15,5514e93898e6b8749a044da6,IS1072,3,Video (Uvrs),1
